bookCandidateKey,authorCandidateKey,sourceWpPostId,confidence,reason
book:quiero estar contigo,author:1002,1002,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:entre realidades y suenos,author:1007,1007,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:falsas esperanzas,author:1012,1012,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:perdoname por los poemas que te escribi,author:1017,1017,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:el panuelo de marino,author:1024,1024,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:el rumor de la marea,author:1029,1029,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:el viaje aventurero de nico,author:1034,1034,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:pollos en la memoria,author:1040,1040,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:matame de frente,author:1046,1046,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:de juan a juan el musical el libreto y un relato,author:1052,1052,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:daemon lilith,author:1057,1057,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:letargo,author:1062,1062,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:la barca del portugues,author:1069,1069,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:de estrellas gaviotas y poemas,author:1073,1073,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:y la vida sigue,author:1078,1078,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:una inolvidable noche de futbol en la pared,author:1084,1084,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:en la recta final,author:1088,1088,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:duns scoto versus tomas de aquino la debilidad del neocalcedonismo tomista,author:1094,1094,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:placa blanca dignidad sobre el pecho,author:1099,1099,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:la vida de adonis la impunidad,author:1108,1108,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:el perfume de las emociones,author:1113,1113,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:entrevistas,author:1121,1121,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:humor prosa y una jugadora,author:1131,1131,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:ligero como la brisa,author:1136,1136,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:prestoses xaranes de folixes y xordes nel conceyu de mieres,author:1161,1161,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:de barro y silencio,author:1167,1167,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:apuesta personal,author:1172,1172,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:la muerte de adonis los impunes,author:1177,1177,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:el poder de la magia de la comunicacion,author:1182,1182,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:la inteligencia artificial en educacion fisica,author:1187,1187,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:inteligencia artificial en educacion fisica,author:1194,1194,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:sutiles percepciones de una realidad,author:1198,1198,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:amaremos en libertad,author:1204,1204,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:esferas temporales aforismos meditaciones y otros escritos breve recopilacion,author:1209,1209,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:la sombra del azar,author:1214,1214,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:al final de la escapada memoria personal 1951 2011,author:1219,1219,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:estasimo,author:1230,1230,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:haikus en el camino,author:1235,1235,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:la ruta de las mariposas,author:1246,1246,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:versos de madrugada con sentido,author:1256,1256,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:cuentos para amara la nieve y amara toca el tambor,author:1302,1302,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:beretricce el palacio velado,author:1313,1313,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:el cierzo tatuado,author:1325,1325,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:quedamos para despedirnos pero ella no lo sabia pensamientos en un pequeno relato sobre la amistad,author:1341,1341,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:cuentos para amara dona bota la burbuja de mar,author:1348,1348,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:oraculo de la fe el camino del alma,author:1358,1358,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:voces del alma el arte de escuchar a traves del tarot,author:1361,1361,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:nido de barro haikus,author:1365,1365,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:con su permiso don alvaro historias de viso del marques,author:1367,1367,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:r,author:1376,1376,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:el canto de las raices cartografias del ser y existir,author:1392,1392,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:zoografias,author:1422,1422,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:cartas a diego reflexiones sobre un nacimiento,author:1431,1431,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:amor amor,author:1435,1435,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:rodrigo se fue a otro lugar,author:1454,1454,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:una escuela de musica,author:1457,1457,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:la ultima carta,author:1473,1473,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:arcanum la tora de minerva,author:1483,1483,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:de origine nostra fatum nostrum,author:1518,1518,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:estrategias educativas a traves del teatro musical experiencias y propuesta metodologica del taller de musicales volumen 1 seleccion de titulos para el aula analisis cinematografico y escenico,author:1526,1526,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:dias de galerna,author:1539,1539,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:monedas del corazon,author:1548,1548,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:famosa gabardina azul,author:1560,1560,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:el poderoso sir tristan en la saga del prince valiant 1937 1971 de harold foster la apoteosis medieval de un arte contemporaneo,author:1569,1569,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:la lista de tareas de mi profe jose,author:1578,1578,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:christus verbo y verso segun un posadero,author:1585,1585,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:el valor de la amistad un viaje al pais de las nubes,author:1602,1602,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:planes enlazados,author:1614,1614,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:mariposas en el jardin,author:1616,1616,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:metodo sah g maes 36 caminos de curacion para la mente el cuerpo y el espiritual,author:1633,1633,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:el musical como vehiculo de aprendizaje,author:1644,1644,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:entre lineas reflejos de un tiempo convulso,author:1649,1649,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:pajaro en el alambre,author:1681,1681,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:de los rollos del mar muerto a los de rodrigo de lares tomo 2,author:1686,1686,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:otros oficios en moralzarzal,author:1712,1712,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:libero mi alma con 131 angeles,author:1722,1722,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:monasterio de san lorenzo de el escorial una visita interior,author:1730,1730,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:compendio sobre los ejercicios y el arte militar reunido en tres libros,author:1744,1744,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:el dolor de un alma sin memoria,author:1750,1750,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:mano a mano,author:1780,1780,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:perderse encontrarse despertar,author:1787,1787,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:los mejores cortos de gomez rosas cualquier parecido con la realidad es pura coincidencia,author:1798,1798,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:evocacion y sucesos de dolores la tuerta una historia del mundo rural,author:1821,1821,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:azul,author:1834,1834,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:memorias de opera,author:1851,1851,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:descartes y su duda hiperbolica,author:1858,1858,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:ilusiones,author:1863,1863,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:cartas a un hombre,author:1866,1866,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:el pueblo judio legado y nexo con judea una historia milenaria,author:1881,1881,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:fuerteventura luz y silencios,author:1893,1893,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:ndong el jubilado,author:1902,1902,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:analisis de errores morfosintacticos en un aula de espanol le el caso del grupo de estudiantes del nivel b2 de secundaria en guinea ecuatorial al expresarse por escrito en espanol,author:1917,1917,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:confesiones verdaderas de un verdadero cascarrabias,author:1932,1932,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:gris mas bien plomo,author:1947,1947,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:el joven clonado,author:1953,1953,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
book:viajando ligero,author:2089,2089,high,Relación inferida desde el registro autor legacy y el campo tf_libro.
